well,serum,dilution_factor,replicate,fastq
A1,flu-seqneut-2026-VIDRL-026_pre-vax,40,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_1_S97_L002_R1_001.fastq.gz
B1,flu-seqneut-2026-VIDRL-026_pre-vax,92,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_2_S98_L002_R1_001.fastq.gz
C1,flu-seqneut-2026-VIDRL-026_pre-vax,212,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_3_S99_L002_R1_001.fastq.gz
D1,flu-seqneut-2026-VIDRL-026_pre-vax,487,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_4_S100_L002_R1_001.fastq.gz
E1,flu-seqneut-2026-VIDRL-026_pre-vax,1119,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_5_S101_L002_R1_001.fastq.gz
F1,flu-seqneut-2026-VIDRL-026_pre-vax,2575,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_6_S102_L002_R1_001.fastq.gz
G1,flu-seqneut-2026-VIDRL-026_pre-vax,5921,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_7_S103_L002_R1_001.fastq.gz
H1,flu-seqneut-2026-VIDRL-026_pre-vax,13619,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_8_S104_L002_R1_001.fastq.gz
A2,flu-seqneut-2026-VIDRL-026_post-vax,40,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_9_S105_L002_R1_001.fastq.gz
B2,flu-seqneut-2026-VIDRL-026_post-vax,92,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_10_S106_L002_R1_001.fastq.gz
C2,flu-seqneut-2026-VIDRL-026_post-vax,212,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_11_S107_L002_R1_001.fastq.gz
D2,flu-seqneut-2026-VIDRL-026_post-vax,487,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_12_S108_L002_R1_001.fastq.gz
E2,flu-seqneut-2026-VIDRL-026_post-vax,1119,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_13_S109_L002_R1_001.fastq.gz
F2,flu-seqneut-2026-VIDRL-026_post-vax,2575,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_14_S110_L002_R1_001.fastq.gz
G2,flu-seqneut-2026-VIDRL-026_post-vax,5921,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_15_S111_L002_R1_001.fastq.gz
H2,flu-seqneut-2026-VIDRL-026_post-vax,13619,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_16_S112_L002_R1_001.fastq.gz
A3,flu-seqneut-2026-VIDRL-027_pre-vax,40,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_17_S113_L002_R1_001.fastq.gz
B3,flu-seqneut-2026-VIDRL-027_pre-vax,92,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_18_S114_L002_R1_001.fastq.gz
C3,flu-seqneut-2026-VIDRL-027_pre-vax,212,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_19_S115_L002_R1_001.fastq.gz
D3,flu-seqneut-2026-VIDRL-027_pre-vax,487,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_20_S116_L002_R1_001.fastq.gz
E3,flu-seqneut-2026-VIDRL-027_pre-vax,1119,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_21_S117_L002_R1_001.fastq.gz
F3,flu-seqneut-2026-VIDRL-027_pre-vax,2575,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_22_S118_L002_R1_001.fastq.gz
G3,flu-seqneut-2026-VIDRL-027_pre-vax,5921,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_23_S119_L002_R1_001.fastq.gz
H3,flu-seqneut-2026-VIDRL-027_pre-vax,13619,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_24_S120_L002_R1_001.fastq.gz
A4,flu-seqneut-2026-VIDRL-027_post-vax,40,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_25_S121_L002_R1_001.fastq.gz
B4,flu-seqneut-2026-VIDRL-027_post-vax,92,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_26_S122_L002_R1_001.fastq.gz
C4,flu-seqneut-2026-VIDRL-027_post-vax,212,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_27_S123_L002_R1_001.fastq.gz
D4,flu-seqneut-2026-VIDRL-027_post-vax,487,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_28_S124_L002_R1_001.fastq.gz
E4,flu-seqneut-2026-VIDRL-027_post-vax,1119,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_29_S125_L002_R1_001.fastq.gz
F4,flu-seqneut-2026-VIDRL-027_post-vax,2575,1,/shared/ngs/illumina/bloom_lab/20260824_LH00740_0265_B22LGLKLT1/Unaligned/CK_L2-20260824/Pool2_PlateB_30_S126_L002_R1_001.fastq.gz
